CELL NAME
CELL MARKER
BASAL EPITHELIAL CELL
ACTA2,KRT14,KRT5,MYLK,TP63
LUMINAL EPITHELIAL CELL
ANKRD30A,SYTL2
LUMINAL PROGENITOR CELL
KRT19,PROM1,SLPI
