"PLASMA CELL","NATURAL KILLER CELL"
"PLASMA CELL","EARLY TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"PLASMA CELL","LATE TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"PLASMA CELL","CANCER-ASSOCIATED FIBROBLAST"
"CANCER CELL","CANCER STEM CELL"
"CANCER CELL","PROGENITOR CELL"
"CANCER CELL","LUMINAL EPITHELIAL CELL"
"CANCER CELL","PLASMA CELL"
"CANCER CELL","EPITHELIAL CELL"
"CANCER CELL","LUMINAL CELL"
"CANCER CELL","FIBROBLAST"
"CANCER CELL","MACROPHAGE"
"CANCER CELL","MYELOID CELL"
"CANCER CELL","B CELL"
"CANCER CELL","NEURON"
"CANCER CELL","BASAL CELL"
"CANCER CELL","STEM CELL"
"CANCER CELL","T CELL"
"CANCER CELL","PROSTATE STEM CELL"
"CANCER CELL","COLONY-FORMING CELL"
"CANCER CELL","NEUTROPHIL"
"CANCER CELL","ENDOTHELIAL CELL"
"CANCER CELL","NEUROENDOCRINE CELL"
"CANCER CELL","LNCAP CELL"
"CANCER CELL","DENTATE GRANULE CELL"
"CANCER CELL","SMOOTH MUSCLE CELL"
"CANCER CELL","MESENCHYMAL CELL"
"CANCER CELL","NATURAL KILLER CELL"
"CANCER CELL","EARLY TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"CANCER CELL","LATE TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"CANCER CELL","CANCER-ASSOCIATED FIBROBLAST"
"EPITHELIAL CELL","CANCER STEM CELL"
"EPITHELIAL CELL","PROGENITOR CELL"
"EPITHELIAL CELL","LUMINAL EPITHELIAL CELL"
"EPITHELIAL CELL","PLASMA CELL"
"EPITHELIAL CELL","CANCER CELL"
"EPITHELIAL CELL","LUMINAL CELL"
"EPITHELIAL CELL","FIBROBLAST"
"EPITHELIAL CELL","MACROPHAGE"
"EPITHELIAL CELL","MYELOID CELL"
"EPITHELIAL CELL","B CELL"
"EPITHELIAL CELL","NEURON"
"EPITHELIAL CELL","BASAL CELL"
"EPITHELIAL CELL","STEM CELL"
"EPITHELIAL CELL","T CELL"
"EPITHELIAL CELL","PROSTATE STEM CELL"
"EPITHELIAL CELL","COLONY-FORMING CELL"
"EPITHELIAL CELL","NEUTROPHIL"
"EPITHELIAL CELL","ENDOTHELIAL CELL"
"EPITHELIAL CELL","NEUROENDOCRINE CELL"
"EPITHELIAL CELL","LNCAP CELL"
"EPITHELIAL CELL","DENTATE GRANULE CELL"
